Time: 2.2900
U[290] = 0.678400
U[291] = 0.679360
U[292] = 0.680320
U[293] = 0.681280
U[294] = 0.682240
U[295] = 0.683200
U[296] = 0.684160
U[297] = 0.685120
U[298] = 0.686080
U[299] = 0.687040
U[300] = 0.688000
U[301] = 0.688960
U[302] = 0.689920
U[303] = 0.690880
U[304] = 0.691840
U[305] = 0.692800
U[306] = 0.693760
U[307] = 0.694720
U[308] = 0.695680
U[309] = 0.696640
U[310] = 0.697600
U[311] = 0.698560
U[312] = 0.699520
U[313] = 0.700480
U[314] = 0.701440
U[315] = 0.702400
U[316] = 0.703360
U[317] = 0.704320
U[318] = 0.705280
U[319] = 0.706240
U[320] = 0.707200
U[321] = 0.708160
U[322] = 0.709120
U[323] = 0.710080
U[324] = 0.711040
U[325] = 0.712000
U[326] = 0.712960
U[327] = 0.713920
U[328] = 0.714880
U[329] = 0.715840
U[330] = 0.716800
U[331] = 0.717760
U[332] = 0.718720
U[333] = 0.719680
U[334] = 0.720640
U[335] = 0.721600
U[336] = 0.722560
U[337] = 0.723520
U[338] = 0.724480
U[339] = 0.725440
U[340] = 0.726400
U[341] = 0.727360
U[342] = 0.728320
U[343] = 0.729280
U[344] = 0.730240
U[345] = 0.731200
U[346] = 0.732160
U[347] = 0.733120
U[348] = 0.734080
U[349] = 0.735040
U[350] = 0.736000
U[351] = 0.736960
U[352] = 0.737920
U[353] = 0.738880
U[354] = 0.739840
U[355] = 0.740800
U[356] = 0.741760
U[357] = 0.742720
U[358] = 0.743680
U[359] = 0.744640
U[360] = 0.745600
U[361] = 0.746560
U[362] = 0.747520
U[363] = 0.748480
U[364] = 0.749440
U[365] = 0.750400
U[366] = 0.751360
U[367] = 0.752320
U[368] = 0.753280
U[369] = 0.754240
U[370] = 0.755200
U[371] = 0.756160
U[372] = 0.757120
U[373] = 0.758080
U[374] = 0.759040
U[375] = 0.760000
U[376] = 0.760960
U[377] = 0.761920
U[378] = 0.762880
U[379] = 0.763840
U[380] = 0.764800
U[381] = 0.765760
U[382] = 0.766720
U[383] = 0.767680
U[384] = 0.768640
U[385] = 0.769600
U[386] = 0.770560
U[387] = 0.771520
U[388] = 0.772480
U[389] = 0.773440
U[390] = 0.774400
U[391] = 0.775360
U[392] = 0.776320
U[393] = 0.777280
U[394] = 0.778240
U[395] = 0.779200
U[396] = 0.780160
U[397] = 0.781120
U[398] = 0.782080
U[399] = 0.783040
U[400] = 0.784000
U[401] = 0.784960
U[402] = 0.785920
U[403] = 0.786880
U[404] = 0.787840
U[405] = 0.788800
U[406] = 0.789760
U[407] = 0.790720
U[408] = 0.791680
U[409] = 0.792640
U[410] = 0.793600
U[411] = 0.794560
U[412] = 0.795520
U[413] = 0.796480
U[414] = 0.797440
U[415] = 0.798400
U[416] = 0.799360
U[417] = 0.800320
U[418] = 0.801280
U[419] = 0.802240
U[420] = 0.803200
U[421] = 0.804160
U[422] = 0.805120
U[423] = 0.806080
U[424] = 0.807040
U[425] = 0.808000
U[426] = 0.808960
U[427] = 0.809920
U[428] = 0.810880
U[429] = 0.811840
U[430] = 0.812800
U[431] = 0.813760
U[432] = 0.814720
U[433] = 0.815680
U[434] = 0.816640
U[435] = 0.817600
U[436] = 0.818560
U[437] = 0.819520
U[438] = 0.820480
U[439] = 0.821440
U[440] = 0.822400
U[441] = 0.823360
U[442] = 0.824320
U[443] = 0.825280
U[444] = 0.826240
U[445] = 0.827200
U[446] = 0.828160
U[447] = 0.829120
U[448] = 0.830080
U[449] = 0.831040
U[450] = 0.832000
U[451] = 0.832960
U[452] = 0.833920
U[453] = 0.834880
U[454] = 0.835840
U[455] = 0.836800
U[456] = 0.837760
U[457] = 0.838720
U[458] = 0.839680
U[459] = 0.840640
U[460] = 0.841600
U[461] = 0.842560
U[462] = 0.843520
U[463] = 0.844480
U[464] = 0.845440
U[465] = 0.846400
U[466] = 0.847360
U[467] = 0.848320
U[468] = 0.849280
U[469] = 0.850240
U[470] = 0.851200
U[471] = 0.852160
U[472] = 0.853120
U[473] = 0.854080
